,gdp_growth_saar
1961-01-01,3.91381807548518
1961-04-01,3.91381807548518
1961-07-01,3.91381807548518
1961-10-01,4.148380321239858
1962-01-01,4.852067058503893
1962-04-01,5.32119155001325
1962-07-01,5.32119155001325
1962-10-01,5.2709072487639625
1963-01-01,5.120054345016103
1963-04-01,5.01948574251753
1963-07-01,5.01948574251753
1963-10-01,5.287860267941572
1964-01-01,6.092983844213703
1964-04-01,6.62973289506179
1964-07-01,6.62973289506179
1964-10-01,6.463268720211464
1965-01-01,5.9638761956604895
1965-04-01,5.630947845959841
1965-07-01,5.630947845959841
1965-10-01,5.595604149203772
1966-01-01,5.489573058935567
1966-04-01,5.418885665423429
1966-07-01,5.418885665423429
1966-10-01,5.138749056411046
1967-01-01,4.298339229373897
1967-04-01,3.73806601134913
1967-07-01,3.73806601134913
1967-10-01,4.106258840976065
1968-01-01,5.2108373298568695
1968-04-01,5.947222989110739
1968-07-01,5.947222989110739
1968-10-01,5.949571571017871
1969-01-01,5.956617316739266
1969-04-01,5.96131448055353
1969-07-01,5.96131448055353
1969-10-01,5.595322771860182
1970-01-01,4.497347645780137
1970-04-01,3.7653642283934396
1970-07-01,3.7653642283934396
1970-10-01,3.8226332645043004
1971-01-01,3.9944403728368805
1971-04-01,4.1089784450586
1971-07-01,4.1089784450586
1971-10-01,4.347109000631426
1972-01-01,5.061500667349907
1972-04-01,5.53776177849556
1972-07-01,5.53776177849556
1972-10-01,5.6910893182172435
1973-01-01,6.1510719373822935
1973-04-01,6.45772701682566
1973-07-01,6.45772701682566
1973-10-01,5.713423697864891
1974-01-01,3.480513740982587
1974-04-01,1.99190710306105
1974-07-01,1.99190710306105
1974-10-01,1.7956697994850952
1975-01-01,1.2069578887572299
1975-04-01,0.81448328160532
1975-07-01,0.81448328160532
1975-10-01,1.5489366323236267
1976-01-01,3.7522966844785466
1976-04-01,5.22120338591516
1976-07-01,5.22120338591516
1976-10-01,5.007910947858686
1977-01-01,4.368033633689261
